BootArgs: Version=2, Revision=0, at 0xffffff8017158000
CommandLine: 
Video: baseAddr=0xa0000000, display=1, rowBytes=6144, width=1440, height=900, depth=32
DevTree: addr=0x1715c000, length=0x13b0
Kernel image: kaddr=0x14500000, ksize=0x2d26000
EFI Runtime: Mode=64, PageStart=0x1715e (0x1715e000), PageCount=0xc4, SystemTable=0x171b3e10
MemoryMap: Size=0x3060, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 0000000000057fff 0000000000000058 0000000000000000 080000000000000f
reserved   0000000000058000 - 0000000000058fff 0000000000000001 0000000000000000 080000000000000f
available  0000000000059000 - 000000000008efff 0000000000000036 0000000000000000 080000000000000f
reserved   000000000008f000 - 000000000008ffff 0000000000000001 0000000000000000 080000000000000f
available  0000000000090000 - 000000000009ffff 0000000000000010 0000000000000000 080000000000000f
reserved   00000000000a0000 - 00000000000bffff 0000000000000020 0000000000000000 0000000000000000
available  0000000000100000 - 00000000144fffff 0000000000014400 0000000000000000 000000000000000f
LoaderData 0000000014500000 - 0000000014512fff 0000000000000013 0000000000000000 000000000000000f
available  0000000014513000 - 00000000145fffff 00000000000000ed 0000000000000000 000000000000000f
LoaderData 0000000014600000 - 000000001715dfff 0000000000002b5e 0000000000000000 000000000000000f
RT_data    000000001715e000 - 00000000171b3fff 0000000000000056 ffffff801715e000 800000000000000f
RT_code    00000000171b4000 - 00000000171e1fff 000000000000002e ffffff80171b4000 800000000000000f
LoaderData 00000000171e2000 - 0000000017225fff 0000000000000044 0000000000000000 000000000000000f
available  0000000017226000 - 000000008105ffff 0000000000069e3a 0000000000000000 000000000000000f
LoaderCode 0000000081060000 - 00000000810effff 0000000000000090 0000000000000000 000000000000000f
available  00000000810f0000 - 0000000081145fff 0000000000000056 0000000000000000 000000000000000f
BS_data    0000000081146000 - 00000000811aafff 0000000000000065 0000000000000000 000000000000000f
available  00000000811ab000 - 00000000811c4fff 000000000000001a 0000000000000000 000000000000000f
BS_data    00000000811c5000 - 00000000811d0fff 000000000000000c 0000000000000000 000000000000000f
available  00000000811d1000 - 00000000811d3fff 0000000000000003 0000000000000000 000000000000000f
BS_data    00000000811d4000 - 0000000081a0afff 0000000000000837 0000000000000000 000000000000000f
LoaderCode 0000000081a0b000 - 0000000081a0bfff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000081a0c000 - 0000000081a0dfff 0000000000000002 0000000000000000 000000000000000f
available  0000000081a0e000 - 0000000081a0ffff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000081a10000 - 0000000081a11fff 0000000000000002 0000000000000000 000000000000000f
available  0000000081a12000 - 0000000081a13fff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000081a14000 - 0000000081b02fff 00000000000000ef 0000000000000000 000000000000000f
BS_code    0000000081b03000 - 0000000081b19fff 0000000000000017 0000000000000000 000000000000000f
BS_data    0000000081b1a000 - 0000000081b25fff 000000000000000c 0000000000000000 000000000000000f
BS_code    0000000081b26000 - 0000000081b30fff 000000000000000b 0000000000000000 000000000000000f
BS_data    0000000081b31000 - 0000000081b31fff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000081b32000 - 0000000081b45fff 0000000000000014 0000000000000000 000000000000000f
BS_data    0000000081b46000 - 0000000081b4ffff 000000000000000a 0000000000000000 000000000000000f
BS_code    0000000081b50000 - 0000000081b59fff 000000000000000a 0000000000000000 000000000000000f
LoaderCode 0000000081b5a000 - 0000000081b8bfff 0000000000000032 0000000000000000 000000000000000f
BS_data    0000000081b8c000 - 0000000081b8dfff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000081b8e000 - 0000000081b9bfff 000000000000000e 0000000000000000 000000000000000f
BS_data    0000000081b9c000 - 00000000821d3fff 0000000000000638 0000000000000000 000000000000000f
BS_code    00000000821d4000 - 00000000822fafff 0000000000000127 0000000000000000 000000000000000f
BS_data    00000000822fb000 - 0000000082486fff 000000000000018c 0000000000000000 000000000000000f
BS_code    0000000082487000 - 00000000824adfff 0000000000000027 0000000000000000 000000000000000f
BS_data    00000000824ae000 - 00000000824cefff 0000000000000021 0000000000000000 000000000000000f
BS_code    00000000824cf000 - 00000000824d4fff 0000000000000006 0000000000000000 000000000000000f
BS_data    00000000824d5000 - 00000000824defff 000000000000000a 0000000000000000 000000000000000f
BS_code    00000000824df000 - 00000000824e1fff 0000000000000003 0000000000000000 000000000000000f
BS_data    00000000824e2000 - 00000000824e7fff 0000000000000006 0000000000000000 000000000000000f
BS_code    00000000824e8000 - 0000000082500fff 0000000000000019 0000000000000000 000000000000000f
BS_data    0000000082501000 - 0000000082506fff 0000000000000006 0000000000000000 000000000000000f
BS_code    0000000082507000 - 000000008251cfff 0000000000000016 0000000000000000 000000000000000f
BS_data    000000008251d000 - 00000000875a4fff 0000000000005088 0000000000000000 000000000000000f
BS_code    00000000875a5000 - 00000000875a7fff 0000000000000003 0000000000000000 000000000000000f
BS_data    00000000875a8000 - 00000000875a8fff 0000000000000001 0000000000000000 000000000000000f
BS_code    00000000875a9000 - 00000000875b3fff 000000000000000b 0000000000000000 000000000000000f
BS_data    00000000875b4000 - 00000000875b5fff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000875b6000 - 00000000875c9fff 0000000000000014 0000000000000000 000000000000000f
BS_data    00000000875ca000 - 00000000875cbfff 0000000000000002 0000000000000000 000000000000000f
BS_code    00000000875cc000 - 00000000875cffff 0000000000000004 0000000000000000 000000000000000f
