Num: b0=0 b1=0 b2=2 b3=31 size=4
  #KEY  [ui32]  49 (bytes 00 00 02 31)
  $Adr  [ui32]  0 (bytes 00 00 03 00)
  $Num  [ui8 ]  1 (bytes 01)
  +LKS  [flag]  (bytes 01)
  ACCL  [ui8 ]  2 (bytes 02)
  ACEN  [ui8 ]  1 (bytes 01)
  ACFP  [flag]  (bytes 01)
  ACIC  [ui16]  128 (bytes 0b 80)
  ACID  [ch8*]  (bytes 85 1e 75 f0 d8 12 7a 1f)
  ACIN  [flag]  (bytes 01)
  ACLM  [ui16]  128 (bytes 0b 80)
  ACdb  [flag]  (bytes 00)
  ACdl  [ui16]  202 (bytes 08 ca)
  ACic  [ui8 ]  2 (bytes 02)
  ADC0  [ui16]  103 (bytes 02 67)
  ADC1  [ui16]  240 (bytes 06 f0)
  ADC2  [ui16]  90 (bytes 00 5a)
  ADC3  [ui16]  255 (bytes 03 ff)
  ADC4  [ui16]  200 (bytes 0b c8)
  ADC5  [ui16]  3 (bytes 00 03)
  ADC6  [ui16]  127 (bytes 05 7f)
  ADC7  [ui16]  216 (bytes 02 d8)
  ADC8  [ui16]  15 (bytes 00 0f)
  ADC9  [ui16]  51 (bytes 03 33)
  ADCa  [ui16]  161 (bytes 01 a1)
  ADCb  [ui16]  22 (bytes 00 16)
  ADCc  [ui16]  82 (bytes 01 52)
  ADCd  [ui16]  113 (bytes 01 71)
  ADCe  [ui16]  188 (bytes 00 bc)
  ADCf  [ui16]  7 (bytes 00 07)
  ADCg  [ui16]  0 (bytes 00 00)
  ADCh  [ui16]  28 (bytes 05 1c)
  ADCi  [ui16]  156 (bytes 02 9c)
  ADCj  [ui16]  10 (bytes 00 0a)
  ADCk  [ui16]  103 (bytes 08 67)
  ADCl  [ui16]  234 (bytes 05 ea)
  ADCm  [ui16]  219 (bytes 01 db)
  ADCn  [ui16]  255 (bytes 0f ff)
  ADSC  [hex_]  (bytes 73)
  AL!   [ui16]  0 (bytes 00 00)
  ALCD  [fp88]  (bytes 00 a1)
  ALI0  [{ali]  (bytes 07 00 06 00)
  ALI1  [{ali]  (bytes 00 00 00 00)
  ALIT  [ui8 ]  (bytes 01)
  ALP0  [{alp]  (bytes 13 33 2d 00)
  ALP1  [{alp]  (bytes 00 00 00 00)
  ALRV  [ui16]  1 (bytes 00 01)
  ALSC  [{alc]  (bytes 00 c7 00 96 03 e8 00 0f 00 01 01 5e 1d 03 01 06)
  ALSF  [fp1f]  (bytes 72 d1)
  ALSL  [ui16]  213 (bytes 00 d5)
  ALV0  [{alv]  (bytes 01 01 03 a4 00 62 00 35 46 84)
  ALV1  [{alv]  (bytes 00 01 00 00 00 00 00 00 00 00)
  AUPO  [ui8 ]  0 (bytes 00)
  B0AC  [si16]  (bytes 00 00)
  B0AP  [sp87]  (bytes 00 00)
  B0AV  [ui16]  35 (bytes 21 23)
  B0Al  [ui16]  255 (bytes ff ff)
  B0Am  [ui8 ]  16 (bytes 10)
  B0Ar  [ui8 ]  0 (bytes 00)
  B0As  [ui8 ]  0 (bytes 00)
  B0At  [ui16]  96 (bytes 09 60)
  B0Au  [ui16]  96 (bytes 09 60)
  B0BI  [hex_]  (bytes 51)
  B0CT  [ui16]  39 (bytes 00 27)
  B0FC  [ui16]  42 (bytes 1b 2a)
  B0LI  [ui16]  128 (bytes 1b 80)
  B0OS  [hex_]  (bytes e4 43)
  B0PS  [hex_]  (bytes 00 00)
  B0RI  [ui16]  0 (bytes 00 00)
  B0RM  [ui16]  103 (bytes 1a 67)
  B0St  [hex_]  (bytes 40 e0)
  B0TF  [ui16]  255 (bytes ff ff)
  BALG  [ui8 ]  0 (bytes 00)
  BATP  [flag]  (bytes 00)
  BBAD  [flag]  (bytes 00)
  BBIF  [ui8 ]  14 (bytes 0e)
  BBIN  [flag]  (bytes 01)
  BC1V  [ui16]  146 (bytes 10 92)
  BC2V  [ui16]  146 (bytes 10 92)
  BCLM  [ui8 ]  100 (bytes 64)
  BCMV  [ui16]  146 (bytes 10 92)
  BEMB  [flag]  (bytes 01)
  BFCL  [ui8 ]  95 (bytes 5f)
  BFCT  [ui16]  0 (bytes 00 00)
  BFLO  [ui8 ]  0 (bytes 00)
  BIMX  [ui16]  245 (bytes 66 f5)
  BIPD  [ui16]  0 (bytes 00 00)
  BITV  [ui16]  0 (bytes 00 00)
  BLPT  [ch8*]  (bytes 01 01 04 1a 14 f2 20 60 00 00 00 00 00 00 00 00 00 00 00 00)
  BNCM  [ui8 ]  0 (bytes 00)
  BNCR  [ui8 ]  4 (bytes 04)
  BNum  [ui8 ]  1 (bytes 01)
  BPII  [sp78]  (bytes 00 00)
  BPIT  [sp78]  (bytes 07 66)
  BQX1  [ui16]  83 (bytes 1c 53)
